Year,Facility Number,Facility Name,Begin Date,End Date,County Name,Type of Control,Income Statement Item,Income Statement Amount,Amount per Adjusted Patient Day
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,GR_PT_REV,993124376,12408
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,DED_REV_PLUS_DSH,820551222,10252
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,TOT_CAP_REV,10809960,135
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,NET_REV_LESS_DSH,183383114,2291
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,OTH_OP_REV,422014,5
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,TOT_OP_EXP,182185940,2276
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,NET_OP_LESS_DSH,1619188,20
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,NONOP_REV,2076,0
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,NONOP_EXP,0,0
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,INC_TAX,0,0
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,EXT_ITEM,0,0
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,NET_INC_LESS_DSH,1621264,20
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,Orange,Investor,OPERATING_MARGIN,0.88,
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,GR_PT_REV,924770364,5415
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,DED_REV_PLUS_DSH,523858969,3067
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,TOT_CAP_REV,0,0
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,NET_REV_LESS_DSH,400911395,2347
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,OTH_OP_REV,80934242,474
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,TOT_OP_EXP,464110177,2717
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,NET_OP_LESS_DSH,17735460,104
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,NONOP_REV,5921464,35
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,NONOP_EXP,109064,1
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,INC_TAX,0,0
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,EXT_ITEM,0,0
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,NET_INC_LESS_DSH,23547860,138
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,Alameda,City/County,OPERATING_MARGIN,3.68,
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,EXT_ITEM,0,0
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,GR_PT_REV,278877641,5289
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,DED_REV_PLUS_DSH,211101795,4004
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,TOT_CAP_REV,0,0
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,NET_REV_LESS_DSH,67775846,1286
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,OTH_OP_REV,161816,3
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,TOT_OP_EXP,72161566,1369
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,NET_OP_LESS_DSH,-4223904,-80
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,NONOP_REV,6240443,118
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,NONOP_EXP,0,0
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,INC_TAX,0,0
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,NET_INC_LESS_DSH,2016539,38
2010,106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,Alameda,District,OPERATING_MARGIN,-6.22,
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,GR_PT_REV,302287301,7434
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,DED_REV_PLUS_DSH,243805718,5996
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,TOT_CAP_REV,6210435,153
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,NET_REV_LESS_DSH,64692018,1591
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,OTH_OP_REV,936631,23
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,TOT_OP_EXP,63184670,1554
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,NET_OP_LESS_DSH,2443979,60
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,NONOP_REV,44477,1
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,NONOP_EXP,0,0
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,INC_TAX,0,0
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,EXT_ITEM,0,0
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,NET_INC_LESS_DSH,2488456,61
2010,106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,Los Angeles,Investor,OPERATING_MARGIN,3.72,
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,Alameda,Non-Profit,GR_PT_REV,2246542774,12657
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,Alameda,Non-Profit,DED_REV_PLUS_DSH,1603137661,9032
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,Alameda,Non-Profit,TOT_CAP_REV,0,0
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,Alameda,Non-Profit,NET_REV_LESS_DSH,643405113,3625
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,Alameda,Non-Profit,OTH_OP_REV,6226957,35
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,Alameda,Non-Profit,TOT_OP_EXP,550311992,3100
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,Alameda,Non-Profit,NET_OP_LESS_DSH,99320078,560
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,Alameda,Non-Profit,NONOP_REV,15691985,88
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,Alameda,Non-Profit,NONOP_EXP,6666938,38
