Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2012,Kings,Non-Profit,881557405.0,875841374.0,5716031.0,2.2
2012,Orange,Investor,1387255090.0,1388614317.0,-1359227.0,-1.29
2012,Alameda,City/County,1183853102.0,1106450780.0,77402322.0,-2.21
2012,Alameda,District,264539114.0,266032067.0,-1492953.0,-13.34
2012,Los Angeles,Investor,464003500.0,456467241.0,7536259.0,0.52
2012,Alameda,Non-Profit,2065325660.0,2042603089.0,22722571.0,1.97
2012,Alameda,Non-Profit,1770010991.0,1744112380.0,25898611.0,3.64
2012,San Diego,Investor,564432918.0,570337943.0,-5905025.0,-6.97
2012,San Diego,Investor,51673921.0,51176721.0,497200.0,2.15
2012,Los Angeles,Non-Profit,5407032.0,5238064.0,168968.0,3.16
2012,Orange,Investor,139461196.0,150531620.0,-11070424.0,-50.21
2012,Los Angeles,District,1263274408.0,1259579133.0,3695275.0,-0.04
2012,San Bernardino,City/County,1507193600.0,1453039541.0,54154059.0,7.06
2012,San Luis Obispo,Non-Profit,284017945.0,287013692.0,-2995747.0,-5.0
2012,San Luis Obispo,State,231976546.0,226752737.0,5223809.0,2.25
2012,Los Angeles,Investor,59800413.0,55929457.0,3870956.0,13.52
2012,Los Angeles,Investor,34970304.0,35377680.0,-407376.0,-2.19
2012,San Diego,Investor,47448311.0,41943117.0,5505194.0,21.81
2012,Ventura,Investor,37646203.0,34470605.0,3175598.0,17.27
2012,Kern,Investor,365116304.0,360268628.0,4847676.0,7.05
2012,Kern,Non-Profit,1245554545.0,1226703934.0,18850611.0,4.76
2012,San Bernardino,Investor,32174934.0,30751041.0,1423893.0,7.16
2012,Lassen,Non-Profit,81335123.0,72590141.0,8744982.0,22.44
2012,Los Angeles,Non-Profit,226451088.0,227227714.0,-776626.0,-1.73
2012,El Dorado,Non-Profit,286447562.0,276556013.0,9891549.0,16.29
2012,San Bernardino,District,39066761.0,39920797.0,-854036.0,-19.58
2012,Los Angeles,Investor,184349999.0,184880279.0,-530280.0,-1.57
2012,Riverside,Non-Profit,41959057.0,42166743.0,-207686.0,3.14
2012,Los Angeles,Non-Profit,364222546.0,367607664.0,-3385118.0,-2.57
2012,Los Angeles,Investor,51309385.0,39922505.0,11386880.0,41.04
2012,Butte,Non-Profit,53598307.0,51168585.0,2429722.0,9.66
2012,Los Angeles,Investor,643868775.0,652769192.0,-8900417.0,-6.88
2012,Butte,City/County,3593448.0,3555119.0,38329.0,1.06
2012,Los Angeles,Non-Profit,987643399.0,970411194.0,17232205.0,5.29
2012,San Francisco,Non-Profit,3601468375.0,3366845900.0,234622475.0,19.51
2012,San Francisco,Non-Profit,536512385.0,560986192.0,-24473807.0,-20.77
2012,San Bernardino,Investor,37578530.0,30233279.0,7345251.0,31.96
2012,Los Angeles,Non-Profit,61773264.0,58383752.0,3389512.0,3.41
2012,Los Angeles,City/County,11928053.0,11755935.0,172118.0,-8.03
2012,Los Angeles,Non-Profit,9650100817.0,9473824134.0,176276683.0,6.53
2012,Los Angeles,Investor,1383433354.0,1347136459.0,36296895.0,14.97
2012,Kings,Non-Profit,124046877.0,107522507.0,16524370.0,18.73
2012,Orange,Investor,180435668.0,186181601.0,-5745933.0,-12.29
2012,Alameda,Non-Profit,1168419633.0,1157043528.0,11376105.0,-10.03
2012,Orange,Non-Profit,145382874.0,136363492.0,9019382.0,16.52
2012,Madera,Non-Profit,1215919359.0,1085074635.0,130844724.0,18.56
2012,Los Angeles,Non-Profit,1519008889.0,1494393967.0,24614922.0,-2.12
2012,Orange,Non-Profit,1377932290.0,1361107201.0,16825089.0,11.05
2012,Santa Clara,Investor,16747660.0,16702824.0,44836.0,0.58
2012,San Francisco,Non-Profit,263934682.0,253555328.0,10379354.0,10.56
2012,San Bernardino,Investor,355956239.0,344963800.0,10992439.0,8.83
2012,Los Angeles,Non-Profit,1116404952.0,1092573826.0,23831126.0,5.41
2012,Los Angeles,Non-Profit,2040915401.0,1964740815.0,76174586.0,6.13
2012,Fresno,Non-Profit,603952720.0,574518928.0,29433792.0,15.82
2012,Fresno,District,37150247.0,39858359.0,-2708112.0,-28.09
2012,Fresno,State,403588282.0,403588282.0,0.0,0.0
2012,Los Angeles,Investor,206288642.0,194665836.0,11622806.0,6.95
2012,Orange,Investor,276344693.0,280449151.0,-4104458.0,-6.14
2012,Los Angeles,Investor,196428221.0,69457839.0,8152226.0,13.27
2012,Orange,Investor,106006807.0,87233730.0,18773077.0,24.79
2012,San Bernardino,City/County,21966933.0,23246259.0,-1279326.0,-16.66
2012,Colusa,Non-Profit,64363243.0,63959097.0,404146.0,-3.22
2012,Los Angeles,Investor,175095363.0,172969072.0,2126291.0,7.36
2012,Los Angeles,Non-Profit,280616885.0,280655632.0,-38747.0,-1.07
2012,San Bernardino,Non-Profit,752578188.0,769927249.0,-17349061.0,-9.82
2012,Monterey,Non-Profit,1166826781.0,1125435175.0,41391606.0,9.65
2012,Ventura,Non-Profit,1317510618.0,1277379884.0,40130734.0,10.25
2012,Fresno,Non-Profit,2839364934.0,2739789879.0,99575055.0,9.28
2012,Contra Costa,City/County,752547626.0,742056044.0,10491582.0,-29.7
2012,Kings,District,30673892.0,30715344.0,-41452.0,-12.21
2012,Riverside,Investor,529492661.0,527817124.0,1675537.0,1.21
2012,Kern,Investor,1250639.0,1215160.0,35479.0,2.87
2012,Kern,Investor,3876302.0,3924861.0,-48559.0,-1.68
2012,Sacramento,Investor,3329423.0,3043254.0,286169.0,8.8
2012,Sacramento,Investor,2189458.0,1750782.0,438676.0,20.15
2012,Santa Clara,Investor,3737760.0,3768280.0,-30520.0,-0.83
2012,San Joaquin,Non-Profit,1069632032.0,1070769837.0,-1137805.0,-4.49
2012,Los Angeles,Investor,98627403.0,43193372.0,9051476.0,26.45
2012,Kern,Non-Profit,207621533.0,202464506.0,5157027.0,5.17
2012,Riverside,Investor,2102131586.0,2041984270.0,60147316.0,15.21
2012,San Bernardino,Investor,435354475.0,436520299.0,-1165824.0,-2.1
2012,San Joaquin,Investor,635448275.0,618385254.0,17063021.0,19.19
2012,Los Angeles,Investor,41015855.0,40665141.0,350714.0,3.84
2012,Stanislaus,Investor,3416698761.0,3366685365.0,50013396.0,10.52
2012,Contra Costa,District,681201354.0,698921873.0,-17720519.0,-25.76
2012,Santa Cruz,Non-Profit,1324804951.0,1288466806.0,36338145.0,9.92
2012,Los Angeles,Non-Profit,954075901.0,957699867.0,-3623966.0,-8.51
2012,Los Angeles,Non-Profit,1034682223.0,1041484624.0,-6802401.0,-2.69
2012,Los Angeles,Investor,341190995.0,324215973.0,16975022.0,5.11
2012,Los Angeles,Investor,85731266.0,86230926.0,-499660.0,-6.24
2012,Plumas,District,39624701.0,38575919.0,1048782.0,1.48
2012,Alameda,Non-Profit,1072032861.0,1083044202.0,-11011341.0,-3.76
2012,Riverside,Non-Profit,2383256701.0,2417869621.0,-34612920.0,-15.48
2012,Santa Clara,Non-Profit,2386955518.0,2322440936.0,64514582.0,9.21
2012,Imperial,City/County,594695639.0,583191511.0,11504128.0,8.44
2012,El Dorado,City/County,3344373.0,3344373.0,0.0,0.0
2012,Stanislaus,Non-Profit,976018253.0,973669413.0,2348840.0,2.24
2012,Los Angeles,Non-Profit,167877652.0,170286267.0,-2408615.0,-8.02
2012,Butte,Non-Profit,1482699743.0,1456921322.0,25778421.0,4.86
2012,Siskiyou,Non-Profit,120417738.0,119437552.0,980186.0,1.46
2012,Orange,State,167862903.0,167862903.0,0.0,-30.32
2012,San Diego,District,215705144.0,220190968.0,-4485824.0,-9.22
2012,Butte,Non-Profit,955949989.0,948225686.0,7724303.0,4.45
2012,Los Angeles,Non-Profit,251691505.0,245297584.0,6393921.0,8.36
2012,Orange,Investor,1762822293.0,1739711144.0,23111149.0,7.55
2012,Mendocino,Non-Profit,120584808.0,112964408.0,7620400.0,14.23
2012,Alameda,Investor,74549929.0,59317510.0,15232419.0,40.22
2012,San Luis Obispo,Non-Profit,480317800.0,480363091.0,-45291.0,-0.54
