Year,Facility Number,Facility Name,Begin Date,End Date,County Name,Type of Control,Income Statement Item,Income Statement Amount,Amount per Adjusted Patient Day
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,GR_PT_REV,125756512,7254
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,DED_REV_PLUS_DSH,88470818,5103
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,TOT_CAP_REV,0,0
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,NET_REV_LESS_DSH,37285694,2151
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,OTH_OP_REV,129503,7
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,TOT_OP_EXP,43803997,2527
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,NET_OP_LESS_DSH,-6388800,-369
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,NONOP_REV,267452,15
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,NONOP_EXP,59072,3
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,INC_TAX,0,0
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,EXT_ITEM,0,0
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,NET_INC_LESS_DSH,-6180420,-357
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,1/1/2013,12/31/2013,Fresno,Non-Profit,OPERATING_MARGIN,-17.08,
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,GR_PT_REV,1440356657,17846
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,DED_REV_PLUS_DSH,1244075258,15414
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,TOT_CAP_REV,2078431,26
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,NET_REV_LESS_DSH,198359830,2458
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,OTH_OP_REV,807454,10
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,TOT_OP_EXP,199305016,2469
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,NET_OP_LESS_DSH,-137732,-2
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,NONOP_REV,1547668,19
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,NONOP_EXP,84017,1
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,INC_TAX,0,0
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,EXT_ITEM,0,0
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,NET_INC_LESS_DSH,1325919,16
2013,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2012,6/30/2013,Orange,Investor,OPERATING_MARGIN,-0.07,
2013,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2012,6/30/2013,Alameda,City/County,GR_PT_REV,1211898216,6851
2013,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2012,6/30/2013,Alameda,City/County,DED_REV_PLUS_DSH,752923354,4256
2013,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2012,6/30/2013,Alameda,City/County,TOT_CAP_REV,0,0
2013,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2012,6/30/2013,Alameda,City/County,NET_REV_LESS_DSH,458974862,2594
